course_title,course_link
Python Complete Course - Beginner To Advanced (Updated 2025),https://www.reed.co.uk/courses/python-complete-course-beginner-to-advanced-updated-2025/230612#/courses/discount?pageno=6
Bookkeeping: Bookkeeping VAT & Payroll with Work Experience,https://www.reed.co.uk/courses/bookkeeping-bookkeeping-vat-payroll-with-work-experience/315645#/courses/discount?pageno=6
Level 5 Diploma in Plumbing and Domestic Heating,https://www.reed.co.uk/courses/level-5-diploma-in-plumbing-and-domestic-heating/333933#/courses/discount?pageno=6
Touch Typing Diploma with Audio Typing & Minute Taking,https://www.reed.co.uk/courses/touch-typing-diploma-with-audio-typing-minute-taking/349001#/courses/discount?pageno=6
"Clinical Coding, Billing & Medical Terminology - CPD Accredited",https://www.reed.co.uk/courses/clinical-coding-billing-medical-terminology-cpd-accredited/362718#/courses/discount?pageno=6
"Xero Masterclass 2025: Bookkeeping, Payroll, Accounting and Finance Diploma",https://www.reed.co.uk/courses/xero-masterclass-2025-bookkeeping-payroll-accounting-and-finance-diploma/391888#/courses/discount?pageno=6
"Diploma in Event Management, Wedding Planner and Hospitality Management - CPD Accredited",https://www.reed.co.uk/courses/diploma-in-event-management-wedding-planner-and-hospitality-management-cpd-accredited/457641#/courses/discount?pageno=6
Sensitivity training - Course,https://www.reed.co.uk/courses/sensitivity-training-course/346133#/courses/discount?pageno=6
CMI Level 7 Diploma in Strategic Management and Leadership Practice,https://www.reed.co.uk/courses/cmi-level-7-diploma-in-strategic-management-and-leadership-practice/199340#/courses/discount?pageno=6
HLTA - Level 4 Certificate for Higher Level Teaching Assistants (RQF),https://www.reed.co.uk/courses/hlta-level-4-certificate-for-higher-level-teaching-assistants-rqf/50926#/courses/discount?pageno=6
Estate Agent & Property Development,https://www.reed.co.uk/courses/estate-agent-property-development/233614#/courses/discount?pageno=6
CIPD Level 3 Foundation Certificate in People Practice (HR & L&D),https://www.reed.co.uk/courses/cipd-level-3-foundation-certificate-in-people-practice-hr-l-d/28738#/courses/discount?pageno=6
AAT Level 2 Certificate in Accounting,https://www.reed.co.uk/courses/aat-level-2-certificate-in-accounting/192396#/courses/discount?pageno=6
Understanding Autism Awareness,https://www.reed.co.uk/courses/understanding-autism-awareness/283298#/courses/discount?pageno=6
Phonics Teaching Diploma - Level 5,https://www.reed.co.uk/courses/phonics-teaching-diploma-level-5/315240#/courses/discount?pageno=6
"Office Management, Business Administration & Retail Customer Service - Level 4 Diploma",https://www.reed.co.uk/courses/office-management-business-administration-retail-customer-service-level-4-diploma/363133#/courses/discount?pageno=6
HR: CIPD Level 3 Foundation Certificate in People Practice,https://www.reed.co.uk/courses/hr-cipd-level-3-foundation-certificate-in-people-practice/458290#/courses/discount?pageno=6
Level 3 Health and Social Care with Adult Nursing & Care Certificate Standards (1 to 15),https://www.reed.co.uk/courses/level-3-health-and-social-care-with-adult-nursing-care-certificate-standards-1-to-15/464687#/courses/discount?pageno=6
Introduction to Clinical Coding,https://www.reed.co.uk/courses/introduction-to-clinical-coding/473376#/courses/discount?pageno=6
Level 7 Diploma in Beauty Therapy with Skincare & Massage Therapy - CPD Certified,https://www.reed.co.uk/courses/level-7-diploma-in-beauty-therapy-with-skincare-massage-therapy-cpd-certified/477960#/courses/discount?pageno=7
"Level 7 Social Worker Diploma -  Health and Social Care, Safeguarding and Mental Health",https://www.reed.co.uk/courses/level-7-social-worker-diploma-health-and-social-care-safeguarding-and-mental-health/487379#/courses/discount?pageno=7
Designated Safeguarding Lead (DSL) + Level 3 Safeguarding Children and Adults,https://www.reed.co.uk/courses/designated-safeguarding-lead-dsl--level-3-safeguarding-children-and-adults/498711#/courses/discount?pageno=7
Level 3 Diploma in Health and Social Care Certificate Preparation Exam,https://www.reed.co.uk/courses/level-3-diploma-in-health-and-social-care-certificate-preparation-exam/499257#/courses/discount?pageno=7
Aesthetics Level 8 Advanced Diploma - CPD Certified,https://www.reed.co.uk/courses/aesthetics-level-8-advanced-diploma-cpd-certified/503911#/courses/discount?pageno=7
Accredited Dog Walking & Pet Sitting with Emergency Care,https://www.reed.co.uk/courses/accredited-dog-walking-pet-sitting-with-emergency-care/505706#/courses/discount?pageno=7
Pharmacy Assistant Diploma Course,https://www.reed.co.uk/courses/pharmacy-assistant-diploma-course/505270#/courses/discount?pageno=7
Level 3 Certificate in Art Therapy & Play Therapy,https://www.reed.co.uk/courses/level-3-certificate-in-art-therapy-play-therapy/507794#/courses/discount?pageno=7
"Suicide Prevention, Mental Health, Trauma, and Self-Harm Awareness Training",https://www.reed.co.uk/courses/suicide-prevention-mental-health-trauma-and-self-harm-awareness-training/320238#/courses/discount?pageno=7
British Sign Language (BSL) Level 1 & 2 - QLS Endorsed,https://www.reed.co.uk/courses/british-sign-language-bsl-level-1-2-qls-endorsed/228114#/courses/discount?pageno=7
AAT Level 2 Certificate in Bookkeeping,https://www.reed.co.uk/courses/aat-level-2-certificate-in-bookkeeping/192167#/courses/discount?pageno=7
Certificate in Purchasing and Procurement with Supply Chain Management Training,https://www.reed.co.uk/courses/certificate-in-purchasing-and-procurement-with-supply-chain-management-training/282627#/courses/discount?pageno=7
Functional Skills English Level 2,https://www.reed.co.uk/courses/functional-skills-english-level-2/290056#/courses/discount?pageno=7
